,0
0,"から梅雨の風吹きわたり大河の波の騒立ち閃けるかも : 新井洸 『微明』, 0000, 1916"
1,"夕映えのひかりうち乱れ潮疾し船子がおらびのいらだたしかも : 新井洸 『微明』, 0000, 1916"
2,"満ち潮のしほのあしはやみ船と船と触れなむとしてまた事もなし : 新井洸 『微明』, 0000, 1916"
3,"タ潮に乗り来る船の舳目くるめく我が鳩尾にあへて迫るも : 新井洸 『微明』, 0000, 1916"
4,"今は暮れてひたすら暗き河口におも梶と呼べり少年のこゑ : 新井洸 『微明』, 0000, 1916"
5,"小蒸汽の吹き棄つる湯気にあか暗き機関の室 : 新井洸 『微明』, 0000, 1916"
6,"ぬらぬらと油光りの機械にはともしちらめき : 新井洸 『微明』, 0000, 1916"
7,"引く潮にさからひ上る夜の帆は風を乏しび星空に垂る : 新井洸 『微明』, 0000, 1916"
8,"見ることの久しくしあれば夜の帆影湖にさからひしみじみ上る : 新井洸 『微明』, 0000, 1916"
9,"河岸の家にひとり寝に来て宵はやし遠稲光がらす戸に見ゆ : 新井洸 『微明』, 0000, 1916"
10,"横になれば水づたひ来るものの声奇しくさやに女わらへり : 新井洸 『微明』, 0000, 1916"
11,"新しき船のさし板檜いた朝日にてらふ波のただなか : 新井洸 『微明』, 0000, 1916"
12,"両岸の街には今朝は鯉職みなかみ遠くあまた見えつも : 新井洸 『微明』, 0000, 1916"
13,"ひつそりと米倉ならぶ河岸に来て鳥さしが吹くその鳥笛を : 新井洸 『微明』, 0000, 1916"
14,"水の上のタ映えのいろ早くさめ冷たく明し春浅みかも : 新井洸 『微明』, 0000, 1916"
15,"にごり雨小やみをなしも引き潮のしるき川床泥曝れにつつ : 新井洸 『微明』, 0000, 1916"
16,"豪雨の水ひた流れたり船は皆岸に身を寄せ息をころせり : 新井洸 『微明』, 0000, 1916"
17,"雪はれの朝のかがやき河ロの汽船の火夫もつれづれ見たり : 新井洸 『微明』, 0000, 1916"
18,"まんまんと凪ぎし日なれば汽船の波河一ぱいにひろがりゆくも : 新井洸 『微明』, 0000, 1916"
19,"町うらの沼田に見ればうらさびし繭屋の屋根の細き煙出し : 新井洸 『微明』, 0000, 1916"
20,"油桶の真鍮の箍日に照らふ水郷の町のはづれなりけり : 新井洸 『微明』, 0000, 1916"
21,"三叉の沖吹く風に白魚ひく帆影黝みて湖暮れむとす : 新井洸 『微明』, 0000, 1916"
22,"大湖のたたへのはてにあをあをし真菰の浮洲寂かなるかな : 新井洸 『微明』, 0000, 1916"
23,"湖尻のせばまりはてて江なせる水滑らかに月にあをめり : 新井洸 『微明』, 0000, 1916"
24,"浮洲のなか水の道せばくほの暗く月はまこもの根にきらめけり : 新井洸 『微明』, 0000, 1916"
25,"翅なき人にしあれば夜ふかく水に舟うけて月に遊べり : 新井洸 『微明』, 0000, 1916"
26,"大空も水もしめらひ蒼みたり月は遥けくはるけかりけり : 新井洸 『微明』, 0000, 1916"
27,"目瞑づれば忽ち暗き夜の底にひえびえと啼く虫の声かも : 新井洸 『微明』, 0000, 1916"
28,"洲の崎の芦生にまじるおもだかの水際に淀むうす明りはも : 新井洸 『微明』, 0000, 1916"
29,"錦木はか細けれどもくれなゐをいのちの限りこらしたらずや : 新井洸 『微明』, 0000, 1916"
30,"雲おもき日のタぐれの微あかり森林のうちにさえ沈むかも : 新井洸 『微明』, 0000, 1916"
31,"下りて来し駒の鈴が音タ冷えの山の空気に細くとよむも : 新井洸 『微明』, 0000, 1916"
32,"山ふかみ雪霜つよき苛げにいのちたもてる樹樹の梢かも : 新井洸 『微明』, 0000, 1916"
33,"湯の宿は未だ遠きを暮れちかみ雑木の膚のなま白けつつ : 新井洸 『微明』, 0000, 1916"
34,"曇り日のしかもたそがれ闃として笹原遠くひらけたるかな : 新井洸 『微明』, 0000, 1916"
35,"右ひだりすげなく広き笹原に夜とならむとすうなじ寒かり : 新井洸 『微明』, 0000, 1916"
36,"草鞋とけば白き土ふまず柔らかき出湯にひたし息づきにけり : 新井洸 『微明』, 0000, 1916"
37,"くろぐろと同行ねむる部屋ぬちに身じろけば湯の香ほのにほひつつ : 新井洸 『微明』, 0000, 1916"
38,"暁のくらく寒きに起きいでて此の山の湯にしづむかなしさ : 新井洸 『微明』, 0000, 1916"
39,"山深みひたとしみ入る朝寒にはだかとなれば湯の気親しも : 新井洸 『微明』, 0000, 1916"
40,"峡ふかく元湯湯の井をうかがへば朝寒を来し面ほてるかも : 新井洸 『微明』, 0000, 1916"
41,"湯の気凝りて白き地上を朝まだき木の下露の流れたるかも : 新井洸 『微明』, 0000, 1916"
